run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d6059547508191a27e2bf58e73295c,6145.427,completed,25943.502,12798.962,82407.257,8561.094,82407.257,9264.5,55587,535.0,3210,29.529,20.688,25860.667,0,2
1,2,21048,2,gpt-4o-mini,vs_69d60638906881918c9f08b34c881df2,8561.613,completed,40559.119,22211.204,127687.691,13817.483,127687.691,17422.0,104532,598.0,3588,24.076,14.766,40497.5,0,2
1,3,31242,3,gpt-4o-mini,vs_69d60736043881919b8dd677ca10cc91,8482.99,completed,31657.097,27101.283,48748.52,19019.589,48748.52,14656.167,87937,523.667,3142,17.849,16.582,31579.5,0,5
1,4,41717,4,gpt-4o-mini,vs_69d607fdfe808191b20ee5a536cf52db,8265.187,completed,35834.973,25843.723,60332.759,15968.986,60332.759,17341.667,104050,540.167,3241,17.32,15.101,35770.5,0,2
1,5,51989,5,gpt-4o-mini,vs_69d608df1a1c819190ff45f423da8471,10037.443,completed,35447.135,25222.227,74511.905,16320.972,74511.905,17249.333,103496,524.167,3145,18.588,14.817,35376.0,0,0
1,6,62334,6,gpt-4o-mini,vs_69d609bf973081918f6cb2966de8ed78,9561.435,completed,37002.349,27602.778,66286.897,19061.246,66286.897,17415.667,104494,630.167,3781,17.303,17.06,36939.333,0,0
1,7,72725,7,gpt-4o-mini,vs_69d60aa8867c8191b7e015cd74f7e770,10934.892,completed,57695.382,35451.14,174925.61,19999.773,174925.61,17503.0,105018,655.333,3932,16.621,11.369,57639.667,0,3
1,8,83099,8,gpt-4o-mini,vs_69d60c0f6b6881918f47c14f1fa0f981,8693.549,completed,38773.457,30544.192,73172.238,15124.935,73172.238,17349.833,104099,628.0,3768,17.861,16.221,38714.167,0,2
1,9,93548,9,gpt-4o-mini,vs_69d60d02223481919e486bdfe2726e0c,11548.52,completed,41627.558,17956.824,92532.951,17361.159,92532.951,17391.5,104349,662.0,3972,20.168,15.932,41550.5,0,0
1,10,104002,10,gpt-4o-mini,vs_69d60e08d0d08191aa01563f93cc92e0,20619.242,completed,34469.902,14867.715,105407.133,13380.787,105407.133,17347.833,104087,647.333,3884,25.205,18.829,34379.167,0,2
1,11,114451,11,gpt-4o-mini,vs_69d60eedc3d48191b209b3c09754c073,15073.131,completed,29400.271,14784.008,59016.184,10202.523,59016.184,17344.0,104064,624.333,3746,25.971,21.274,29346.833,0,2
