step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,6053.68,completed,22772.903,16094.098,53859.05,9673.702,53859.05,9269.667,55618.0,564.167,3385.0,28.902,24.863,22690.833,0,4.0,0.0,0.0,0.0,0.0,0.0
2.0,21048.0,2.0,gpt-4o-mini,7279.964,completed,55191.523,26860.981,155634.138,20762.256,155634.138,17466.0,104796.0,580.333,3482.0,15.399,10.528,55122.833,0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,31242.0,3.0,gpt-4o-mini,140208.731,completed,50149.166,29624.956,94708.865,11834.322,94708.865,17385.0,104310.0,640.5,3843.0,16.102,12.791,50076.0,0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,41717.0,4.0,gpt-4o-mini,8311.582,completed,51056.046,37700.08,130261.228,23028.801,130261.228,17447.167,104683.0,616.333,3698.0,14.09,12.097,50949.167,0,3.0,0.0,0.0,0.0,0.0,0.0
5.0,51989.0,5.0,gpt-4o-mini,10720.834,completed,46212.721,22720.518,131646.965,17737.146,131646.965,17461.667,104770.0,637.167,3823.0,17.592,13.811,46136.167,0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,62334.0,6.0,gpt-4o-mini,19184.631,completed,46995.117,18254.653,107183.466,16012.809,107183.466,17649.167,105895.0,709.167,4255.0,17.945,15.111,46931.167,0,4.0,0.0,0.0,0.0,0.0,0.0
7.0,72725.0,7.0,gpt-4o-mini,9643.892,completed,45168.935,22697.597,98431.423,18169.989,98431.423,17527.667,105166.0,672.167,4033.0,19.149,14.912,45077.0,0,3.0,0.0,0.0,0.0,0.0,0.0
8.0,83099.0,8.0,gpt-4o-mini,10349.813,completed,42509.016,27954.733,85309.762,13010.182,85309.762,17521.667,105130.0,643.0,3858.0,18.203,15.148,42447.333,0,3.0,0.0,0.0,0.0,0.0,0.0
9.0,93548.0,9.0,gpt-4o-mini,10953.376,completed,48979.724,33322.125,115632.995,19306.874,115632.995,14705.0,88230.0,608.0,3648.0,14.997,12.432,48907.5,0,2.0,0.0,0.0,0.0,0.0,0.0
10.0,104002.0,10.0,gpt-4o-mini,12892.29,completed,40376.533,15290.938,138487.156,9859.778,138487.156,17246.333,103478.0,581.5,3489.0,27.076,14.428,40302.667,0,3.0,0.0,0.0,0.0,0.0,0.0
11.0,114451.0,11.0,gpt-4o-mini,21349.522,completed,38671.839,25397.458,86589.019,10329.344,86589.019,17408.833,104453.0,652.0,3912.0,20.067,16.891,38600.5,0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,124871.0,12.0,gpt-4o-mini,23131.159,completed,32624.026,16416.872,77251.673,11173.799,77251.673,17271.333,103628.0,615.0,3690.0,27.481,18.885,32565.167,0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,135223.0,13.0,gpt-4o-mini,54170.868,completed,52873.132,31179.172,154437.321,26557.943,154437.321,17290.5,103743.0,631.167,3787.0,14.956,11.964,52755.833,0,1.0,0.0,0.0,0.0,0.0,0.0
14.0,145724.0,14.0,gpt-4o-mini,366661.863,completed,65071.057,26503.081,145810.333,23711.318,145810.333,17379.167,104275.0,770.167,4621.0,15.784,11.849,65000.167,0,3.0,0.0,0.0,0.0,0.0,0.0
15.0,155786.0,15.0,gpt-4o-mini,14182.8,completed,42004.839,34004.198,84364.261,19868.598,84364.261,17247.0,103482.0,596.667,3580.0,15.933,14.223,41951.833,0,2.0,0.0,0.0,0.0,0.0,0.0
16.0,166256.0,16.0,gpt-4o-mini,13989.537,completed,62964.902,31496.84,164390.873,17753.555,164390.873,17431.0,104586.0,605.0,3630.0,16.681,9.641,62753.833,0,3.0,0.0,0.0,0.0,0.0,0.0
17.0,176648.0,17.0,gpt-4o-mini,133240.553,completed,53851.897,53181.264,121062.68,10677.687,121062.68,17491.5,104949.0,585.167,3511.0,15.0,10.925,53560.833,0,3.0,0.0,0.0,0.0,0.0,0.0
18.0,186905.0,18.0,gpt-4o-mini,32073.714,completed,46184.542,39170.117,96403.725,11143.004,96403.725,17257.667,103546.0,616.833,3701.0,17.4,13.373,46125.833,0,2.0,0.0,0.0,0.0,0.0,0.0
19.0,197313.0,19.0,gpt-4o-mini,104713.945,completed,65456.008,26551.149,167757.073,20721.987,167757.073,17432.333,104594.0,644.333,3866.0,12.803,9.855,65381.0,0,4.0,0.0,0.0,0.0,0.0,0.0
20.0,207534.0,20.0,gpt-4o-mini,50657.859,completed,51132.031,24884.254,154989.163,22612.799,154989.163,16932.0,101592.0,595.167,3571.0,16.276,11.661,51037.667,0,2.0,0.0,0.0,0.0,0.0,0.0
21.0,217827.0,21.0,gpt-4o-mini,132264.88,completed,47980.662,25795.486,135233.824,11668.948,135233.824,17251.833,103511.0,657.333,3944.0,19.274,13.721,47906.833,0,1.0,0.0,0.0,0.0,0.0,0.0
22.0,228128.0,22.0,gpt-4o-mini,15276.538,completed,59690.511,26795.645,161694.572,16544.302,161694.572,17528.333,105170.0,604.333,3626.0,13.474,10.136,59620.0,0,5.0,0.0,0.0,0.0,0.0,0.0
23.0,238377.0,23.0,gpt-4o-mini,14722.975,completed,45680.8,35913.693,72547.865,13184.175,72547.865,17263.333,103580.0,585.0,3510.0,15.408,12.828,45602.833,0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,248829.0,24.0,gpt-4o-mini,16582.62,completed,44557.926,32042.186,120495.109,17947.118,120495.109,17337.167,104023.0,642.5,3855.0,17.442,14.441,44491.333,0,2.0,0.0,0.0,0.0,0.0,0.0
25.0,259166.0,25.0,gpt-4o-mini,14846.303,completed,59691.224,34811.53,137806.574,22018.437,137806.574,17384.0,104304.0,623.333,3740.0,12.333,10.465,59564.167,0,4.0,0.0,0.0,0.0,0.0,0.0
