step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,7045.267,completed,29408.35,16254.194,79688.828,9485.22,79688.828,9028.5,54171.0,562.6,3375.6,26.655,20.028,29330.433,0,3.0,6884.898,569.619,16.358,2.973,3.73
2.0,21048.0,2.0,gpt-4o-mini,23247.417,completed,41278.608,25499.918,108074.587,14285.611,108074.587,17394.533,104367.2,572.3,3433.8,20.986,14.601,41145.833,0,1.2,9258.967,61.968,26.435,3.693,3.101
3.0,31242.0,3.0,gpt-4o-mini,35272.616,completed,47126.477,30497.122,117442.176,15249.689,117442.176,16894.433,101366.6,604.633,3627.8,16.992,13.125,47052.133,0,2.2,7864.008,1119.781,55.94,1.065,1.8
4.0,41717.0,4.0,gpt-4o-mini,9393.154,completed,45019.823,30639.478,107087.711,19021.726,107087.711,17393.5,104361.0,581.6,3489.6,16.271,13.195,44943.5,0,2.6,6898.048,95.721,44.67,2.721,1.853
5.0,51989.0,5.0,gpt-4o-mini,10350.647,completed,40039.222,28053.462,94640.299,18378.207,94640.299,16841.933,101051.6,601.4,3608.4,18.309,15.465,39967.1,0,1.4,7277.173,1102.034,40.927,1.848,2.576
6.0,62334.0,6.0,gpt-4o-mini,11531.29,completed,45747.401,22872.053,123590.581,17822.918,123590.581,16936.4,101618.4,615.933,3695.6,17.995,13.733,45680.4,0,2.4,6489.009,1093.644,55.418,3.058,2.162
7.0,72725.0,7.0,gpt-4o-mini,20269.591,completed,45563.651,28898.261,113353.935,16011.05,113353.935,16904.533,101427.2,619.667,3718.0,19.01,14.167,45492.533,0,2.4,9672.406,1069.894,56.815,4.096,2.665
8.0,83099.0,8.0,gpt-4o-mini,34771.14,completed,46669.726,33474.91,105582.075,18033.044,105582.075,17402.167,104413.0,619.7,3718.2,16.309,13.633,46588.633,0,2.4,7879.471,72.351,25.694,2.463,2.088
9.0,93548.0,9.0,gpt-4o-mini,13104.441,completed,46728.658,28658.633,113368.041,19173.609,113368.041,16290.4,97742.4,608.667,3652.0,16.758,13.141,46657.333,0,3.0,3109.941,1337.784,30.285,2.642,1.511
10.0,104002.0,10.0,gpt-4o-mini,63216.97,completed,42080.183,24817.842,110449.485,16390.467,110449.485,16740.1,100440.6,607.0,3642.0,20.319,14.985,42000.167,0,3.2,8492.529,1152.426,30.331,5.082,2.776
11.0,114451.0,11.0,gpt-4o-mini,17851.136,completed,38067.965,27568.957,74277.232,14415.319,74277.232,17348.567,104091.4,614.6,3687.6,19.853,16.718,38006.067,0,2.4,7425.06,64.18,31.071,3.854,2.945
12.0,124871.0,12.0,gpt-4o-mini,104581.344,completed,41155.825,30150.862,90478.735,15305.049,90478.735,16785.067,100710.4,606.1,3636.6,19.834,15.853,41082.1,0,2.6,13505.432,1176.382,42.733,4.789,3.676
13.0,135223.0,13.0,gpt-4o-mini,22638.817,completed,55760.887,32878.42,154762.008,20093.708,154762.008,17316.067,103896.4,626.833,3761.0,15.639,11.42,55664.0,0,2.0,5451.563,58.443,34.17,2.9,1.687
14.0,145724.0,14.0,gpt-4o-mini,109448.384,completed,53929.848,30506.134,133366.845,17924.259,133366.845,17339.167,104035.0,655.133,3930.8,16.378,12.429,53864.433,0,1.8,9689.827,69.742,66.981,2.23,1.646
15.0,155786.0,15.0,gpt-4o-mini,78141.756,completed,47512.025,31974.576,120569.066,15507.872,120569.066,17344.933,104069.6,604.967,3629.8,16.968,12.845,47439.433,0,2.4,3944.196,92.147,31.217,1.203,1.267
16.0,166256.0,16.0,gpt-4o-mini,18794.848,completed,48801.577,32937.184,119981.83,20094.58,119981.83,17401.133,104406.8,617.733,3706.4,16.547,13.19,48705.567,0,2.8,10011.639,87.024,13.504,1.249,2.493
17.0,176648.0,17.0,gpt-4o-mini,157793.828,completed,57038.347,37399.652,139556.55,20507.203,139556.55,16730.567,100383.4,646.867,3881.2,14.547,11.385,56925.1,0,2.6,3028.078,1076.597,33.581,0.675,0.682
18.0,186905.0,18.0,gpt-4o-mini,23192.836,completed,53273.098,38870.05,108832.866,15466.598,108832.866,16220.2,97321.2,636.833,3821.0,15.998,12.341,53186.733,0,1.6,11319.695,2201.746,62.665,1.404,1.746
19.0,197313.0,19.0,gpt-4o-mini,37503.465,completed,52854.761,31489.565,117952.935,17971.523,117952.935,16808.467,100850.8,647.133,3882.8,16.004,12.661,52749.133,0,3.2,9397.013,1060.618,14.975,3.543,2.219
20.0,207534.0,20.0,gpt-4o-mini,101445.363,completed,49560.686,25193.054,140867.606,16913.828,140867.606,16662.5,99975.0,640.467,3842.8,20.043,13.034,49441.8,0,2.0,4010.493,1052.505,30.137,5.826,1.187
21.0,217827.0,21.0,gpt-4o-mini,48402.196,completed,48343.439,24000.738,125331.546,15286.213,125331.546,17236.1,103416.6,639.1,3834.6,19.83,13.845,48256.5,0,2.4,11312.891,114.937,47.512,3.333,2.636
22.0,228128.0,22.0,gpt-4o-mini,69163.6,completed,50142.484,26963.531,134730.061,17377.768,134730.061,17223.3,103339.8,629.733,3778.4,15.906,13.169,50073.6,0,2.2,9946.933,169.998,27.644,1.723,3.024
23.0,238377.0,23.0,gpt-4o-mini,101528.221,completed,42426.269,27787.165,102485.756,12858.656,102485.756,17180.7,103084.2,606.267,3637.6,20.111,14.534,42352.5,0,2.6,5110.52,112.183,16.526,3.442,1.857
24.0,248829.0,24.0,gpt-4o-mini,24569.065,completed,39241.813,26680.644,85920.396,17084.841,85920.396,17219.633,103317.8,601.833,3611.0,18.753,16.157,39153.133,0,2.2,8802.197,70.137,39.942,3.462,3.666
25.0,259166.0,25.0,gpt-4o-mini,58218.52,completed,49364.066,30720.186,122797.505,19165.95,122797.505,17119.067,102714.4,628.4,3770.4,16.7,12.942,49284.1,0,2.2,6098.348,234.573,9.251,3.845,1.564
