run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d61b1633548191b6f5fe770f06d90d,8270.53,completed,25283.423,19899.857,42970.557,8162.593,42970.557,9139.833,54839,489.667,2938,24.346,19.431,25199.833,0,2
1,2,21048,1,gpt-4o-mini,vs_69d61bb7b40c8191a46e990fe9cd8339,8207.807,completed,44303.964,31652.921,101662.658,14677.44,101662.658,17468.667,104812,642.167,3853,18.878,14.522,44219.667,0,5
1,3,31242,1,gpt-4o-mini,vs_69d61ccb40388191b38fcc5a07e10bf4,16540.333,completed,47211.706,20439.536,182943.706,10919.109,182943.706,17577.167,105463,596.0,3576,24.167,12.64,47151.667,0,3
1,4,41717,1,gpt-4o-mini,vs_69d61df86adc8191a51d841d2a5f8db2,9736.45,completed,46615.425,21230.35,151699.832,15418.619,151699.832,17560.5,105363,615.333,3692,20.783,13.22,46545.833,0,3
1,5,51989,1,gpt-4o-mini,vs_69d61f1b61a48191875b98d29956e12d,8136.555,completed,48175.553,26017.768,102306.667,23574.871,102306.667,17533.5,105201,661.0,3966,16.513,13.744,48093.5,0,2
1,6,62334,1,gpt-4o-mini,vs_69d62045e9bc819194e4978365cc7082,8525.045,completed,38325.549,32841.181,60820.781,21636.171,60820.781,17485.0,104910,622.0,3732,16.351,16.283,38199.667,0,1
1,7,72725,1,gpt-4o-mini,vs_69d62135cdec8191abe0c6487e492e51,7252.409,completed,41619.798,26483.971,83097.194,21496.308,83097.194,17479.0,104874,639.167,3835,17.998,15.38,41557.167,0,1
1,8,83099,1,gpt-4o-mini,vs_69d622383bbc8191b6436c364abbf8ca,7246.887,completed,39477.347,25152.884,113621.235,18570.585,113621.235,17490.667,104944,577.833,3467,19.221,14.757,39157.333,0,2
1,9,93548,1,gpt-4o-mini,vs_69d6232e05a08191abc26891f2c9fb53,8685.446,completed,47329.741,39047.503,102814.924,24311.321,102814.924,17447.5,104685,628.5,3771,15.102,13.302,47246.833,0,2
1,10,104002,1,gpt-4o-mini,vs_69d62454173c819196b140dfbc857edd,9489.748,completed,51325.417,39475.176,152267.079,11228.802,152267.079,17483.333,104900,624.833,3749,17.594,12.189,51263.667,0,3
1,11,114451,1,gpt-4o-mini,vs_69d6259326848191b00f3ecf011bca52,9628.278,completed,50266.415,28359.955,165878.078,19098.576,165878.078,17489.667,104938,597.0,3582,17.697,11.893,50195.833,0,3
1,12,124871,1,gpt-4o-mini,vs_69d626cc6c20819182cd411ef338ccc4,7462.189,completed,59045.628,42837.475,169883.185,13206.183,169883.185,17523.667,105142,651.167,3907,17.689,11.042,58970.5,0,5
1,13,135223,1,gpt-4o-mini,vs_69d62837fe108191ae13e2577d74addb,8489.623,completed,46248.151,20708.49,121039.792,17803.038,121039.792,17496.167,104977,671.333,4028,21.18,14.538,46178.0,0,1
1,14,145724,1,gpt-4o-mini,vs_69d6295771148191a45fa6def28e8211,8161.413,completed,30120.538,16106.744,96686.316,11321.363,96686.316,17431.333,104588,569.333,3416,28.646,18.942,30056.667,0,3
1,15,155786,1,gpt-4o-mini,vs_69d62a15ef9c8191aad4bec952a968a5,10615.239,completed,50522.147,35165.673,115193.584,9986.059,115193.584,17502.667,105016,657.333,3944,17.942,13.028,50455.5,0,4
1,16,166256,1,gpt-4o-mini,vs_69d62b5142288191915904bd5e7accd5,8267.634,completed,46786.059,19751.956,158576.794,14926.424,158576.794,17574.667,105448,595.167,3571,19.33,12.741,46714.167,0,2
1,17,176648,1,gpt-4o-mini,vs_69d62c73984081918f8b13b6ebd58f97,8695.626,completed,37540.547,21533.133,67155.756,17600.13,67155.756,17411.833,104471,565.833,3395,17.117,15.114,37438.833,0,4
1,18,186905,1,gpt-4o-mini,vs_69d62d5f270c8191aea83d9a18d723e1,9631.985,completed,35321.446,21410.997,84851.851,9486.389,84851.851,17362.667,104176,529.833,3179,20.375,15.03,35251.167,0,3
