step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,7719.249,completed,31197.089,20516.516,64737.802,11549.362,64737.802,8786.722,52720.333,562.167,3373.0,23.425,18.802,31065.5,0,2.667,6813.881,558.362,58.267,6.216,3.765
2.0,21048.0,1.0,gpt-4o-mini,7586.954,completed,33772.142,23356.119,72974.606,13497.433,72974.606,16538.222,99229.333,563.278,3379.667,20.755,17.309,33598.611,0,4.333,7851.666,1311.489,56.661,2.45,2.388
3.0,31242.0,1.0,gpt-4o-mini,11799.587,completed,38343.473,24610.743,97201.939,13841.694,97201.939,17521.278,105127.667,591.833,3551.0,20.562,15.932,38276.056,0,2.333,7844.246,67.377,58.794,2.791,2.435
4.0,41717.0,1.0,gpt-4o-mini,8914.708,completed,40751.469,22900.034,120101.551,15428.217,120101.551,17494.778,104968.667,583.722,3502.333,20.416,15.011,40683.389,0,3.333,8446.935,57.235,23.088,0.716,3.211
5.0,51989.0,1.0,gpt-4o-mini,29149.392,completed,42224.89,22687.248,116609.304,13998.494,116609.304,17509.167,105055.0,610.056,3660.333,21.55,14.641,42154.278,0,2.667,4766.364,27.751,56.883,3.641,2.084
6.0,62334.0,1.0,gpt-4o-mini,8775.605,completed,43432.152,31492.028,80316.594,22208.43,80316.594,17443.778,104662.667,608.0,3648.0,15.609,14.221,43303.833,0,2.333,4300.925,32.893,23.178,1.461,1.836
7.0,72725.0,1.0,gpt-4o-mini,11172.428,completed,42373.806,27742.065,100483.32,20042.6,100483.32,17491.056,104946.333,605.0,3630.0,18.411,14.356,42295.556,0,2.667,2329.875,16.0,24.389,2.735,1.086
8.0,83099.0,1.0,gpt-4o-mini,7290.661,completed,43409.895,27728.695,101422.919,16098.018,101422.919,17472.778,104836.667,615.555,3693.333,18.901,14.31,43169.944,0,1.333,4685.075,43.65,45.348,0.987,0.472
9.0,93548.0,1.0,gpt-4o-mini,8138.939,completed,46176.769,30640.5,112591.513,15269.912,112591.513,16568.389,99410.333,617.333,3704.0,18.373,13.403,46088.0,0,2.333,1142.813,1298.318,11.606,3.005,0.432
10.0,104002.0,1.0,gpt-4o-mini,7624.588,completed,47394.363,37330.25,114414.648,14298.138,114414.648,17494.611,104967.667,640.222,3841.333,17.063,13.66,47323.222,0,2.333,4253.557,9.468,10.907,1.68,1.468
11.0,114451.0,1.0,gpt-4o-mini,8756.777,completed,36650.356,24766.3,85984.481,17782.439,85984.481,16543.222,99259.333,587.778,3526.667,20.031,17.046,36578.111,0,2.0,9696.811,1289.876,8.671,1.758,3.688
12.0,124871.0,1.0,gpt-4o-mini,7545.689,completed,46624.745,34810.137,117106.056,14406.875,117106.056,16615.333,99692.0,606.445,3638.667,16.949,13.32,46549.056,0,4.0,8858.155,1263.307,47.81,1.115,1.681
13.0,135223.0,1.0,gpt-4o-mini,7801.864,completed,45166.645,22032.509,126493.315,13398.186,126493.315,17493.167,104959.0,628.167,3769.0,21.846,14.382,45097.333,0,1.333,8110.86,33.951,30.616,4.007,2.54
14.0,145724.0,1.0,gpt-4o-mini,8725.375,completed,35849.446,20653.073,96611.276,11206.395,96611.276,17510.444,105062.667,628.611,3771.667,25.903,18.369,35778.5,0,2.667,8581.093,62.091,41.923,2.44,3.584
15.0,155786.0,1.0,gpt-4o-mini,9523.958,completed,44928.794,29227.08,102734.719,15383.175,102734.719,17494.056,104964.333,642.833,3857.0,18.913,14.485,44858.445,0,3.333,5549.613,44.442,30.297,1.788,1.265
16.0,166256.0,1.0,gpt-4o-mini,11357.876,completed,39887.781,20694.879,113307.901,14435.529,113307.901,17542.056,105252.333,613.222,3679.333,20.703,15.782,39822.333,0,1.333,5435.252,25.245,33.614,3.321,2.932
17.0,176648.0,1.0,gpt-4o-mini,8768.01,completed,38930.92,22377.738,83393.204,17221.167,83393.204,17474.833,104849.0,606.389,3638.333,18.233,15.686,38852.389,0,3.0,2239.035,44.55,46.181,2.784,1.77
18.0,186905.0,1.0,gpt-4o-mini,8794.805,completed,45917.043,22933.701,127528.337,12299.221,127528.337,17475.945,104855.667,594.278,3565.667,20.617,13.197,45820.611,0,2.0,7664.414,81.816,45.817,3.77,1.379
19.0,197313.0,1.0,gpt-4o-mini,49432.103,completed,47487.309,35425.039,120318.737,18996.581,120318.737,17481.667,104890.0,602.945,3617.667,16.23,12.884,47415.222,0,2.0,5778.432,38.425,23.892,0.523,1.42
20.0,207534.0,1.0,gpt-4o-mini,8408.258,completed,39725.635,27831.91,96738.85,11190.518,96738.85,17455.222,104731.333,582.611,3495.667,20.096,15.85,39653.444,0,1.667,12127.68,89.103,15.205,2.535,3.823
21.0,217827.0,1.0,gpt-4o-mini,9875.351,completed,36777.011,26185.571,78474.736,12327.952,78474.736,17428.944,104573.667,597.278,3583.667,19.908,16.452,36703.5,0,3.333,4761.609,50.312,29.791,1.288,1.485
22.0,228128.0,1.0,gpt-4o-mini,8880.901,completed,47660.974,34287.671,117814.379,19766.512,117814.379,17459.389,104756.333,623.333,3740.0,17.158,13.683,47591.944,0,4.333,12860.026,96.925,54.085,3.246,2.168
23.0,238377.0,1.0,gpt-4o-mini,29247.318,completed,50289.132,34433.68,122017.568,20192.816,122017.568,17497.722,104986.333,630.722,3784.333,15.94,12.657,50203.555,0,2.333,6168.897,71.274,44.198,1.129,0.79
24.0,248829.0,1.0,gpt-4o-mini,9791.296,completed,46275.019,26515.016,120413.484,19129.13,120413.484,16539.0,99234.0,604.389,3626.333,18.375,13.508,46204.389,0,3.0,7835.377,1309.603,31.926,4.498,2.552
25.0,259166.0,1.0,gpt-4o-mini,9588.317,completed,43152.295,27862.448,96043.762,16488.165,96043.762,17471.111,104826.667,627.555,3765.333,18.3,14.726,43011.389,0,2.333,4961.378,52.574,28.342,2.576,1.253
