run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,5099,1,gpt-4o-mini,vs_69d45af7e9408191bee6b4f6c79f35e3,6548.616,completed,15623.796,14081.668,22843.501,11836.107,22843.501,4851.0,29106,491.5,2949,32.781,31.662,15523.5,0,4
1,2,10205,2,gpt-4o-mini,vs_69d45b5e268081919f0a5132e6bf2c2e,12230.226,completed,13732.36,14605.183,18746.416,7964.872,18746.416,8442.333,50654,462.667,2776,37.393,34.796,13296.667,0,2
1,3,15262,3,gpt-4o-mini,vs_69d45bbe82808191b60df056bfd293fa,8254.684,completed,31347.124,22153.075,74714.533,10815.896,74714.533,12278.833,73673,587.333,3524,23.663,19.124,30711.667,0,3
1,4,20330,4,gpt-4o-mini,vs_69d45c851b4c81919e7e629eb8fc21ea,10931.78,completed,46989.384,34585.65,108620.618,26546.01,108620.618,15989.667,95938,581.333,3488,14.893,12.397,46893.333,0,2
1,5,25333,5,gpt-4o-mini,vs_69d45dabb14481918fe7f538f4b737b1,7371.963,completed,43961.93,30514.347,90419.452,9481.97,90419.452,16450.833,98705,527.0,3162,16.677,12.017,43856.333,0,3
2,1,5099,1,gpt-4o-mini,vs_69d45ebce32481918c920421a6d14eb2,7406.729,completed,17865.476,12779.504,30704.161,8662.15,30704.161,4872.167,29233,531.333,3188,33.033,29.929,17753.0,0,4
2,2,10205,2,gpt-4o-mini,vs_69d45f31612c8191b891de22c0da1801,17533.039,completed,23779.848,19074.747,51342.344,11708.589,51342.344,8476.0,50856,530.0,3180,25.549,22.387,23674.833,0,1
2,3,15262,3,gpt-4o-mini,vs_69d45fd37e188191ba326a2341ae854b,7469.393,completed,32648.879,19186.352,81003.61,11062.627,81003.61,12291.167,73747,611.0,3666,24.089,18.802,32497.333,0,3
2,4,20330,4,gpt-4o-mini,vs_69d460a0e3cc8191bde9909d9ec586c8,8870.643,completed,36131.338,15563.974,117008.078,10914.578,117008.078,16066.667,96400,600.0,3600,26.076,16.637,36063.667,0,0
2,5,25333,5,gpt-4o-mini,vs_69d4618472748191994230bfd0840eb2,11901.112,completed,48088.351,21260.252,135579.428,17505.481,135579.428,16583.167,99499,546.167,3277,16.605,11.394,47934.667,0,3
