run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,5099,1,gpt-4o-mini,vs_69d453667a9c819181423b520c8ae8ed,7439.75,completed,17207.979,12864.719,30728.111,8874.22,30728.111,4872.333,29234,547.0,3282,33.585,31.986,17101.333,0,2
1,2,10205,1,gpt-4o-mini,vs_69d453d6faec819180523c9d7d7ffe33,6986.648,completed,32012.427,21030.319,71040.953,9060.961,71040.953,9021.333,54128,596.833,3581,24.577,18.69,31933.0,0,3
1,3,15262,1,gpt-4o-mini,vs_69d4549fbea48191a304d78a0d00df99,6101.59,completed,27469.859,18245.069,54226.028,9794.028,54226.028,12939.833,77639,540.667,3244,24.921,19.75,27375.333,0,1
1,4,20330,1,gpt-4o-mini,vs_69d4554c7f308191a995ccaadfc431f8,7850.758,completed,43520.06,24325.688,118311.104,10755.576,118311.104,17218.167,103309,598.5,3591,19.544,13.822,43299.667,0,3
1,5,25333,1,gpt-4o-mini,vs_69d4565b1e8c81918cee71ac112a511b,16613.451,completed,27297.421,15123.5,57400.576,9691.659,57400.576,17456.0,104736,568.333,3410,25.227,20.89,27205.5,0,2
2,1,5099,1,gpt-4o-mini,vs_69d4571160bc8191bc3dca27b41006eb,8652.224,completed,18336.576,12492.28,43694.45,7138.413,43694.45,4880.167,29281,592.667,3556,37.474,32.445,18266.833,0,4
2,2,10205,1,gpt-4o-mini,vs_69d45789f0388191a280a7b7f0c54a57,7341.991,completed,20654.537,19156.879,32419.843,10541.623,32419.843,8865.333,53192,521.0,3126,27.149,25.297,20595.667,0,2
2,3,15262,1,gpt-4o-mini,vs_69d4580eb9c48191b6c3d2632acee4de,17728.195,completed,30322.979,23266.863,72997.564,11414.337,72997.564,12964.167,77785,561.333,3368,23.468,18.564,30237.667,0,1
2,4,20330,1,gpt-4o-mini,vs_69d458d84970819191e8b81671f5a6f0,6224.517,completed,31182.463,26120.512,53520.399,10058.333,53520.399,17069.667,102418,546.167,3277,21.517,17.566,31092.5,0,3
2,5,25333,1,gpt-4o-mini,vs_69d4599b47ac819192f0c148a1a5709b,8782.303,completed,49122.196,24405.203,164293.419,14373.712,164293.419,17487.5,104925,621.0,3726,19.468,12.66,49050.833,0,3
