step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,8270.53,completed,25283.423,19899.857,42970.557,8162.593,42970.557,9139.833,54839.0,489.667,2938.0,24.346,19.431,25199.833,0,2.0,0.0,0.0,0.0,0.0,0.0
2.0,21048.0,1.0,gpt-4o-mini,8207.807,completed,44303.964,31652.921,101662.658,14677.44,101662.658,17468.667,104812.0,642.167,3853.0,18.878,14.522,44219.667,0,5.0,0.0,0.0,0.0,0.0,0.0
3.0,31242.0,1.0,gpt-4o-mini,16540.333,completed,47211.706,20439.536,182943.706,10919.109,182943.706,17577.167,105463.0,596.0,3576.0,24.167,12.64,47151.667,0,3.0,0.0,0.0,0.0,0.0,0.0
4.0,41717.0,1.0,gpt-4o-mini,9736.45,completed,46615.425,21230.35,151699.832,15418.619,151699.832,17560.5,105363.0,615.333,3692.0,20.783,13.22,46545.833,0,3.0,0.0,0.0,0.0,0.0,0.0
5.0,51989.0,1.0,gpt-4o-mini,8136.555,completed,48175.553,26017.768,102306.667,23574.871,102306.667,17533.5,105201.0,661.0,3966.0,16.513,13.744,48093.5,0,2.0,0.0,0.0,0.0,0.0,0.0
6.0,62334.0,1.0,gpt-4o-mini,8525.045,completed,38325.549,32841.181,60820.781,21636.171,60820.781,17485.0,104910.0,622.0,3732.0,16.351,16.283,38199.667,0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,72725.0,1.0,gpt-4o-mini,7252.409,completed,41619.798,26483.971,83097.194,21496.308,83097.194,17479.0,104874.0,639.167,3835.0,17.998,15.38,41557.167,0,1.0,0.0,0.0,0.0,0.0,0.0
8.0,83099.0,1.0,gpt-4o-mini,7246.887,completed,39477.347,25152.884,113621.235,18570.585,113621.235,17490.667,104944.0,577.833,3467.0,19.221,14.757,39157.333,0,2.0,0.0,0.0,0.0,0.0,0.0
9.0,93548.0,1.0,gpt-4o-mini,8685.446,completed,47329.741,39047.503,102814.924,24311.321,102814.924,17447.5,104685.0,628.5,3771.0,15.102,13.302,47246.833,0,2.0,0.0,0.0,0.0,0.0,0.0
10.0,104002.0,1.0,gpt-4o-mini,9489.748,completed,51325.417,39475.176,152267.079,11228.802,152267.079,17483.333,104900.0,624.833,3749.0,17.594,12.189,51263.667,0,3.0,0.0,0.0,0.0,0.0,0.0
